name,name_ta,type,subtype,ward_no,lon,lat
Gangai Nagar,கங்கை நகர்,locality,neighbourhood,177.0,80.2159236,12.9835252
Guindy,கிண்டி,locality,suburb,174.0,80.2203646,13.0087095
Indira Nagar,இந்திரா நகர்,locality,locality,175.0,80.2524199,12.9963154
JagannathaPuram,,locality,neighbourhood,178.0,80.2218917,12.9846819
Jeevarathinam Nagar,,locality,neighbourhood,176.0,80.2606946,13.002057
Jothiammal Nagar,,locality,neighbourhood,171.0,80.2288972,13.0195105
Kalaimagal Nagar,,locality,locality,170.0,80.2054266,13.0252903
Kalakshetra Colony,,locality,locality,181.0,80.266422,12.9936352
Kamraj nagar,,locality,locality,182.0,80.2572826,12.9839305
Kannappa Nagar,,locality,neighbourhood,182.0,80.2569078,12.9755547
Karpagam Avenue,,locality,neighbourhood,173.0,80.2678296,13.0219794
Karpagam Garden,கற்பகம் கார்டன்,locality,neighbourhood,176.0,80.2615446,13.0071776
Kasturibai Nagar,கஸ்தூரிபாய் நகர்,locality,neighbourhood,175.0,80.2509384,13.0040436
Kesavaperumalpuram,,locality,neighbourhood,173.0,80.2541184,13.0211245
Kottur Gardens,,locality,neighbourhood,172.0,80.2441277,13.0206311
Kotturpuram,கோட்டூர்புரம்,locality,suburb,172.0,80.2435512,13.0193703
Labour Colony,,locality,neighbourhood,170.0,80.2094084,13.0154717
Lakshmi Hayagriva Nagar,,locality,neighbourhood,177.0,80.212138,12.9854291
Little Mount,சின்னமலை,locality,suburb,171.0,80.2266882,13.0141864
MRC Nagar,,locality,suburb,173.0,80.2706525,13.0196693
Maduvankarai,,locality,locality,174.0,80.2106556,13.0020222
NGO Colony,என்.ஜி.ஓ. காலனி,locality,neighbourhood,177.0,80.2077603,12.9948953
Nava Bharath Colony,நவ பரத் காலனி,locality,neighbourhood,181.0,80.2666669,12.9900052
Navaratna Gardens,,locality,locality,170.0,80.201086,13.0230861
New Colony,,locality,neighbourhood,179.0,80.2322973,12.9827099
PTC Colony,,locality,neighbourhood,182.0,80.2565187,12.9763834
Padmanabha Nagar,பத்மநாப நகர்,locality,neighbourhood,176.0,80.2587292,13.0045512
Parameswari Nagar,பரமேஸ்வரி நகர்,locality,neighbourhood,176.0,80.2581254,13.0027868
Puzhuthivakkam,புழுதிவாக்கம்,locality,suburb,169.0,80.2062626,12.9691428
Radhakrishnan Nagar,ராதாகிருஷ்ணன் நகர்,locality,locality,181.0,80.2586907,12.994345
Raj Bhavan,ராஜ் பவன்,locality,neighbourhood,174.0,80.2263985,13.0079401
Rajalakshmi Nagar,,locality,neighbourhood,178.0,80.2187428,12.9852883
Ram Nagar,ராம் நகர்,locality,neighbourhood,169.0,80.2118131,12.9653558
Ramakrishna Nagar,ராமகிருஷ்ணா நகர்,locality,neighbourhood,173.0,80.261062,13.024366
Ramalinga Nagar,,locality,neighbourhood,169.0,80.2058513,12.9675942
SIDCO Industrial Estate,சிட்கோ தொழிற்பேட்டை,locality,suburb,170.0,80.2091208,13.01407
Saidapet,சைதாப்பேட்டை,locality,suburb,142.0,80.2239536,13.020817
Seethapathy Nagar,,locality,neighbourhood,179.0,80.2270333,12.9819509
Seshadripuram,,locality,neighbourhood,179.0,80.2306689,12.9798387
Seva Nagar Velachery,,locality,neighbourhood,179.0,80.2293212,12.9864108
Shastri Nagar,சாஸ்திரி நகர்,locality,neighbourhood,176.0,80.2599116,12.9987729
Sony Nagar,சோனி நகர்,locality,neighbourhood,179.0,80.2279906,12.9865105
Srinagar Colony,ஸ்ரீநகர் காலனி,locality,neighbourhood,171.0,80.2302782,13.0134666
Srinivasa Nagar,சீனிவாச நகர்,locality,locality,182.0,80.2600077,12.9749674
Sriram Nagar,ஸ்ரீராம் நகர்,locality,neighbourhood,172.0,80.2443172,13.0035494
Sriram Nagar,ஸ்ரீராம் நகர்,locality,locality,181.0,80.2606111,12.9909416
Sundar Nagar,சுந்தர் நகர்,locality,locality,170.0,80.1987308,13.016778
TNHB Colony,டீஎன்ஹெச்பி காலனி,locality,neighbourhood,177.0,80.2120593,12.9914196
Tansi Nagar,டான்சி நகர்,locality,neighbourhood,179.0,80.2234467,12.9774585
Taramani,தரமணி,locality,suburb,180.0,80.2404069,12.9849067
Teachers Colony,,locality,locality,182.0,80.2661849,12.9833689
Thiruvanmiyur,திருவான்மியூர்,locality,suburb,181.0,80.2644215,12.9858948
Tiruvalluvar Nagar,திருவள்ளுவர் நகர்,locality,locality,182.0,80.2625371,12.9770564
Tiruvalluvar Nagar,திருவள்ளுவர் நகர்,locality,neighbourhood,172.0,80.2458186,13.0181474
Todhunter Nagar,,locality,neighbourhood,171.0,80.2308086,13.0226153
Udhayam Nagar,உதயம் நகர்,locality,neighbourhood,179.0,80.2321701,12.9791677
Ullagaram,உல்லகரம்,locality,suburb,168.0,80.1967196,12.9765868
Union Carbide Colony,யூனியன் கார்பைட் காலனி,locality,neighbourhood,169.0,80.1931481,12.9739802
Urur Kuppam,,locality,neighbourhood,176.0,80.2732889,13.0041761
VGP Selva Nagar,,locality,neighbourhood,179.0,80.2211034,12.9712216
Valmiki Nagar,வால்மீகி நகர்,locality,locality,182.0,80.2645577,12.9804404
Vannanthurai,,locality,locality,176.0,80.2616099,12.9968645
Varadapuram,,locality,neighbourhood,172.0,80.2459988,13.0154212
Venkateswara Nagar,வெங்கடேஸ்வரா நகர்,locality,neighbourhood,176.0,80.2620566,13.00328
Venus Colony,வீனஸ் காலனி,locality,neighbourhood,179.0,80.2277223,12.9743952
Vijaynagar,விஜயநகர்,locality,neighbourhood,178.0,80.2209882,12.9757425
Vikram Sarabhai Industrial Estate,விக்ரம் சாராபாய் தொழிற்பேட்டை,locality,neighbourhood,180.0,80.2508748,12.9809554
"[""Broadie's Castle Road""]",,road,['primary'],173.0,80.2628469,13.020367
"[""Elliot's Beach Promenade"" 'Annai Velankanni Road']",,road,['tertiary'],181.0,80.2702291,12.9954402
"[""Elliot's Beach Promenade""]",,road,['tertiary'],176.0,80.2720311,13.0027511
"[""Elliot's Beach Promenade""]",,road,['tertiary'],,80.2717557,13.0018913
"[""Elliot's Beach Promenade""]",,road,['tertiary'],181.0,80.2704731,12.9956152
['100 Feet Road' 'Velachery Bypass Road'],,road,['primary'],178.0,80.2189747,12.9789466
['100 Feet Road'],,road,['primary'],178.0,80.2196751,12.976714
['10th Cross Street'],,road,['residential'],175.0,80.2519214,12.9967641
['10th Cross Street'],,road,['residential'],176.0,80.2611921,12.9977188
['10th Lane'],,road,['residential'],176.0,80.2575677,12.9983148
['10th Lane'],,road,['residential'],175.0,80.2514717,12.9936128
['10th Main Road'],,road,['residential'],178.0,80.2171098,12.9722985
['10th Street'],,road,['residential'],177.0,80.2123428,12.9918454
['10th Street'],,road,['residential'],182.0,80.257021,12.9841739
['10th Street'],,road,['living_street'],174.0,80.2199565,13.0026918
['11th Cross Street'],,road,['residential'],175.0,80.2503963,12.9958285
['11th Lane'],,road,['residential'],175.0,80.251574,12.9932467
['11th Main Road'],,road,['residential'],178.0,80.2170494,12.9718764
['11th Street'],,road,['residential'],177.0,80.2101377,12.9904151
['11th Street'],,road,['residential'],182.0,80.2639853,12.9779647
['11th Street'],,road,['living_street'],174.0,80.2198023,13.0024631
['12st Street' '2nd Cross Street'],,road,['residential'],177.0,80.2158272,12.9858345
['12st Street'],,road,['residential'],177.0,80.2153798,12.9860023
['12th Cross Street'],,road,['residential'],177.0,80.2086308,12.9904976
['12th Lane'],,road,['residential'],175.0,80.2511715,12.9927526
['12th Main Road'],,road,['residential'],178.0,80.2183747,12.9713278
['12th Street' '11th Street'],,road,['residential'],177.0,80.2104311,12.9915472
['12th Street' '11th Street'],,road,['residential'],182.0,80.2569616,12.9837802
['12th Street'],,road,['residential'],177.0,80.2113094,12.9913117
['12th Street'],,road,['residential'],182.0,80.257056,12.9841699
['13th Cross Street'],,road,['residential'],175.0,80.2500428,12.9986496
['13th Lane'],,road,['residential'],175.0,80.2522244,12.9926366
['13th Main Road'],,road,['residential'],178.0,80.2175333,12.9710802
['13th Street' '9th Street' '14th Street'],,road,['residential'],182.0,80.2556359,12.9845565
['14th Cross Street'],,road,['residential'],175.0,80.2494288,12.9996014
['14th Lane'],,road,['residential'],175.0,80.2523381,12.992267
['14th Street'],,road,['residential'],182.0,80.2631376,12.9788279
['15th East Street' '17th East Street'],,road,['residential'],182.0,80.2553794,12.9826131
['15th East Street'],,road,['residential'],182.0,80.2554354,12.9830193
['15th Lane'],,road,['residential'],175.0,80.2525619,12.9914629
['15th Street'],,road,['residential'],182.0,80.2635434,12.9785327
['15th cross street'],,road,['residential'],176.0,80.257053,13.0002509
['16th Cross Street'],,road,['residential'],175.0,80.2525731,12.9943125
['16th East Street'],,road,['residential'],182.0,80.2568776,12.982875
['17th Cross Street'],,road,['residential'],175.0,80.2527687,12.9907256
['17th Street'],,road,['residential'],182.0,80.2640327,12.9787634
['18th Cross Street'],,road,['residential'],175.0,80.25244,12.9918844
['18th East Street'],,road,['residential'],182.0,80.2568776,12.982875
['18th Street'],,road,['residential'],182.0,80.264823,12.9787064
['1st Avenue'],,road,['residential'],181.0,80.2593159,12.989274
['1st Avenue'],,road,['residential'],170.0,80.1986594,13.0174932
['1st Canal Cross Street'],,road,['residential'],175.0,80.2502396,13.0084631
['1st Cross Road'],,road,['residential'],177.0,80.2068777,12.9818813
['1st Cross Road'],,road,['residential'],,80.2066853,12.9812165
['1st Cross Street' '3rd Avenue'],,road,['residential'],170.0,80.1994576,13.0172389
['1st Cross Street'],,road,['residential'],175.0,80.2569106,13.0084536
['1st Cross Street'],,road,['residential'],171.0,80.2284971,13.0279229
['1st Cross Street'],,road,['residential'],181.0,80.261103,12.992153
['1st Cross Street'],,road,['residential'],173.0,80.2681772,13.0206702
['1st Cross Street'],,road,['residential'],170.0,80.2045432,13.0251451
['1st Cross Street'],,road,['residential'],177.0,80.2165878,12.9826623
['1st Cross Street'],,road,['residential'],176.0,80.2628317,13.0069552
['1st East Street' 'Sivasundar 2nd Avenue'],,road,['residential'],181.0,80.2579567,12.9886468
['1st East Street'],,road,['residential'],181.0,80.2572238,12.9887427
['1st Loop Street'],,road,['residential'],172.0,80.2455939,13.0213696
['1st Main Road'],,road,['secondary'],171.0,80.2311372,13.026975
['1st Main Road'],,road,['residential'],176.0,80.2714589,13.0029013
['1st Main Road'],,road,['residential'],177.0,80.2107593,12.9791649
['1st Main Road'],,road,['residential'],180.0,80.2558412,12.9881896
['1st Main Road'],,road,['residential'],182.0,80.2610076,12.9780677
['1st Main Road'],,road,['secondary'],,80.230653,13.0307619
['1st Road'],,road,['residential'],169.0,80.1999796,12.9712297
['1st Seaward Link Road'],,road,['residential'],182.0,80.2652381,12.9819853
['1st Seaward Road'],,road,['residential'],182.0,80.2618754,12.9827294
['1st Street'],,road,['residential'],176.0,80.2579956,13.0061075
['1st Street'],,road,['residential'],175.0,80.2516718,13.0042544
['1st Street'],,road,['residential'],181.0,80.2615527,12.9908957
['1st Street'],,road,['residential'],171.0,80.2282271,13.019966
['1st Street'],,road,['residential'],169.0,80.2054976,12.9690176
['1st Street'],,road,['residential'],177.0,80.2103552,12.9923752
['1st Street'],,road,['residential'],179.0,80.2259433,12.9752532
['1st Street'],,road,['residential'],182.0,80.2614861,12.9778833
['1st Street'],,road,['living_street'],173.0,80.2648631,13.0235701
['1st Street'],,road,['residential'],142.0,80.2122407,13.021463
"['1st Street, Balaji Nagar']",,road,['residential'],170.0,80.2063264,13.0222375
['1st cross street'],,road,['residential'],176.0,80.2642905,13.000668
['1st main road'],,road,['residential'],169.0,80.2036753,12.9665376
['1st steet extension'],,road,['residential'],169.0,80.2075157,12.9698721
['20th Cross Street'],,road,['residential'],180.0,80.2519594,12.9892416
['20th Cross Street'],,road,['residential'],175.0,80.2515548,12.9911725
['20th Street' '19th Street'],,road,['residential'],182.0,80.2579929,12.9821101
['20th Street' '23rd Street'],,road,['residential'],182.0,80.2647863,12.9779073
['20th Street'],,road,['residential'],182.0,80.2648389,12.9784232
['21st Cross Street'],,road,['residential'],175.0,80.2525731,12.9943125
['21st Street' '22nd Street'],,road,['residential'],182.0,80.2643216,12.9781791
['21st Street'],,road,['residential'],179.0,80.2245356,12.9758328
['21st Street'],,road,['residential'],182.0,80.2575691,12.9831744
['22nd East Street Ext'],,road,['residential'],182.0,80.2576402,12.9837645
['22nd Link Street'],,road,['residential'],175.0,80.2542747,12.995446
['22nd Street'],,road,['primary'],182.0,80.2594369,12.9839318
['23rd Street'],,road,['residential'],168.0,80.190153,12.9806923
['23rd Street'],,road,['residential'],182.0,80.2642979,12.9779423
['24th Cross Street'],,road,['residential'],175.0,80.2533163,12.9937692
['24th Street'],,road,['residential'],182.0,80.2659671,12.977515
['25th Cross Street'],,road,['residential'],175.0,80.255249,12.9938272
['25th Street'],,road,['residential'],182.0,80.2651628,12.9783967
['265h Cross Street'],,road,['residential'],175.0,80.2546552,12.9917919
['26th East Street'],,road,['residential'],182.0,80.2579753,12.9861847
['26th Street'],,road,['residential'],182.0,80.2651628,12.9783967
['28th Cross Street'],,road,['residential'],175.0,80.2520078,12.9902198
['28th Street'],,road,['residential'],182.0,80.2654786,12.977538
['29 th Main Road'],,road,['residential'],175.0,80.2553068,12.9901572
['29 th Main Road'],,road,['residential'],180.0,80.2546116,12.9895944
['29th Cross Street'],,road,['residential'],175.0,80.255511,12.990229
['29th Cross Street'],,road,['residential'],181.0,80.2646633,12.995112
['29th Street' '30th Street'],,road,['residential'],182.0,80.2653532,12.9766262
['29th Street'],,road,['residential'],182.0,80.26483,12.9766715
['2nd Avenue Ext 2'],,road,['tertiary'],175.0,80.2521269,12.9951162
['2nd Avenue'],,road,['residential'],177.0,80.2127262,12.9917476
['2nd Avenue'],,road,['residential'],181.0,80.2599676,12.9903007
['2nd Avenue'],,road,['residential'],170.0,80.1990234,13.0173037
['2nd Avenue'],,road,['secondary'],176.0,80.2668833,13.0000255
['2nd Border Street'],,road,['residential'],171.0,80.225462,13.026593
['2nd Canal Cross Street'],,road,['residential'],175.0,80.248722,13.0091332
['2nd Cros Street'],,road,['residential'],170.0,80.1990998,13.0160999
['2nd Cross Lane'],,road,['residential'],177.0,80.216766,12.980646
['2nd Cross Road'],,road,['residential'],177.0,80.2160014,12.9816751
['2nd Cross Street' '1st Cross Street'],,road,['residential'],170.0,80.204443,13.0244042
['2nd Cross Street' '9th Cross Street'],,road,['residential'],177.0,80.2054567,12.9828264
['2nd Cross Street'],,road,['residential'],175.0,80.2544138,13.0067192
['2nd Cross Street'],,road,['residential'],173.0,80.2617662,13.0212936
['2nd Cross Street'],,road,['residential'],171.0,80.2287902,13.0274874
['2nd Cross Street'],,road,['residential'],172.0,80.2451003,13.0115724
['2nd Cross Street'],,road,['tertiary'],177.0,80.2071813,12.9913918
['2nd Cross Street'],,road,['tertiary'],,80.2058473,12.9919874
['2nd Cross Street'],,road,['residential'],176.0,80.2613448,13.0064853
['2nd Cross Street'],,road,['residential'],181.0,80.2601773,12.9925825
['2nd Cross Street'],,road,['residential'],182.0,80.2564122,12.9753932
['2nd Cross'],,road,['residential'],176.0,80.2668242,13.0018678
['2nd East Street'],,road,['residential'],181.0,80.2565488,12.9888277
['2nd East Street'],,road,['residential'],182.0,80.2564266,12.9876354
['2nd Lane'],,road,['residential'],175.0,80.2503702,12.9987279
['2nd Lane'],,road,['residential'],176.0,80.2597173,13.0004099
['2nd Link Street'],,road,['residential'],176.0,80.2629282,13.0074152
['2nd Loop Street'],,road,['residential'],172.0,80.2456829,13.0209303
['2nd Main Road' '3rd Cross Street'],,road,['residential'],176.0,80.261406,13.005999
['2nd Main Road'],,road,['residential'],173.0,80.2602598,13.022328
['2nd Main Road'],,road,['residential'],175.0,80.2528206,13.0111942
['2nd Main Road'],,road,['tertiary'],,80.1920289,12.9828515
['2nd Main Road'],,road,['residential'],172.0,80.2452558,13.0209036
['2nd Main Road'],,road,['tertiary'],168.0,80.1917865,12.9804971
['2nd Main Road'],,road,['residential'],176.0,80.2722686,13.0026861
['2nd Main Road'],,road,['residential'],177.0,80.2103069,12.9787681
['2nd Main Road'],,road,['residential'],182.0,80.2578886,12.9750362
['2nd Seaward Road'],,road,['residential'],182.0,80.2618192,12.9820054
['2nd Street' '1st Street'],,road,['residential'],,80.2592985,12.9748375
['2nd Street' '3rd Street'],,road,['residential'],172.0,80.2472118,13.0111722
['2nd Street' '3rd Street'],,road,['residential'],176.0,80.2588798,13.0047403
['2nd Street' '3rd Street'],,road,['residential'],182.0,80.2615033,12.9782136
['2nd Street' 'Raj Colony'],,road,['residential'],181.0,80.2604175,12.9955483
['2nd Street' 'Sakthi Vijayalkshmi Road'],,road,['residential'],177.0,80.2167392,12.9860626
['2nd Street'],,road,['residential'],171.0,80.2260559,13.0289763
['2nd Street'],,road,['residential' 'living_street'],176.0,80.2621676,13.0017503
['2nd Street'],,road,['residential'],173.0,80.2565563,13.0230633
['2nd Street'],,road,['residential'],172.0,80.2461832,13.0161467
['2nd Street'],,road,['residential'],168.0,80.1990536,12.9791407
['2nd Street'],,road,['residential'],177.0,80.2109289,12.9931094
['2nd Street'],,road,['residential'],182.0,80.260411,12.9747577
['2nd Street'],,road,['residential'],175.0,80.2546365,13.0037278
['2nd Street'],,road,['residential'],181.0,80.2592549,12.9957164
['2nd Street'],,road,['residential'],170.0,80.2016669,13.0204518
['2nd Street'],,road,['residential'],174.0,80.2131585,13.000596
"['2nd Street, Lakshmi Nagar']",,road,['residential'],,80.189243,12.9795242
['2nd West street'],,road,['residential'],180.0,80.2545795,12.9872021
['2nd main road'],,road,['residential'],169.0,80.2063676,12.9657361
['30th Cross Street'],,road,['residential'],181.0,80.2661625,12.9953868
['30th Street'],,road,['living_street'],174.0,80.2181795,13.0009068
['31st Cross Street'],,road,['residential'],176.0,80.2634135,12.9966741
['31st Street'],,road,['residential'],182.0,80.264849,12.9768172
['32nd Street'],,road,['residential'],182.0,80.2642822,12.9764238
['34th Street'],,road,['residential'],182.0,80.2633485,12.9767755
['35th Cross Street'],,road,['residential'],181.0,80.2633529,12.9961527
['35th Cross Street'],,road,['residential'],176.0,80.2634135,12.9966741
['35th Street' '33rd Street'],,road,['residential'],182.0,80.2628034,12.9768135
['35th Street'],,road,['residential'],182.0,80.2638883,12.9767329
['38th Lane'],,road,['residential'],177.0,80.2121864,12.9923669
['38th Street'],,road,['residential'],182.0,80.2616494,12.9770507
['39th Street'],,road,['residential'],182.0,80.2614606,12.9774959
['3rd Avenue' '1st Cross Street'],,road,['residential'],170.0,80.1994576,13.0172389
['3rd Avenue'],,road,['secondary'],176.0,80.2695925,13.0048287
['3rd Avenue'],,road,['residential'],182.0,80.2658904,12.976944
['3rd Canal Cross Street'],,road,['residential'],175.0,80.2502695,13.0103529
['3rd Cross Street' '2nd Main Road'],,road,['residential'],176.0,80.261406,13.005999
['3rd Cross Street'],,road,['residential'],175.0,80.2515709,13.0096136
['3rd Cross Street'],,road,['residential'],173.0,80.260649,13.023621
['3rd Cross Street'],,road,['residential'],170.0,80.2035182,13.0248236
['3rd Cross Street'],,road,['residential'],176.0,80.2578593,12.9990024
['3rd Cross Street'],,road,['residential'],181.0,80.2585226,12.9934004
['3rd Cross Street'],,road,['residential'],182.0,80.2564122,12.9753932
['3rd Cross Street'],,road,['residential'],,80.1982238,13.0158943
['3rd Cross Street'],,road,['residential'],177.0,80.2154538,12.9860749
['3rd Cross'],,road,['residential'],176.0,80.2645649,12.999181
['3rd East Street' '4th East Street'],,road,['residential'],181.0,80.259499,12.9879976
['3rd East Street'],,road,['residential'],181.0,80.2581323,12.9881247
['3rd Lane'],,road,['residential'],176.0,80.2596777,13.0000709
['3rd Lane'],,road,['residential'],175.0,80.2502081,12.9992911
['3rd Loop Street'],,road,['residential'],172.0,80.2427389,13.0198689
['3rd Main Road' '1st Street'],,road,['residential'],182.0,80.2582111,12.9753862
['3rd Main Road' 'Chandru Street'],,road,['residential'],179.0,80.2236019,12.9693575
['3rd Main Road' 'Indira Nagar 2nd Avenue'],,road,['tertiary' 'residential'],175.0,80.2537538,12.9959571
['3rd Main Road'],,road,['secondary'],,80.2329391,13.0270637
['3rd Main Road'],,road,['residential'],175.0,80.2525742,13.00992
['3rd Main Road'],,road,['residential'],182.0,80.2578841,12.9856093
['3rd Main Road'],,road,['residential'],172.0,80.2429187,13.020356
['3rd Main Road'],,road,['residential'],177.0,80.2116397,12.9785906
['3rd Main Road'],,road,['residential'],178.0,80.2185518,12.9748205
['3rd Main Road'],,road,['residential'],179.0,80.2233612,12.985474
['3rd Seaward Road'],,road,['residential'],182.0,80.2625426,12.9812804
['3rd Street'],,road,['residential'],173.0,80.2640023,13.0232046
['3rd Street'],,road,['residential'],172.0,80.2462949,13.0173606
['3rd Street'],,road,['residential'],171.0,80.228572,13.0198913
['3rd Street'],,road,['residential'],177.0,80.212922,12.9844852
['3rd Street'],,road,['residential'],181.0,80.2584729,12.99574
['3rd Street'],,road,['residential'],176.0,80.2585831,12.9966817
['3rd Street'],,road,['residential'],175.0,80.2546272,13.00315
['3rd Street'],,road,['residential'],182.0,80.2560941,12.9770204
['3rd Street'],,road,['residential'],170.0,80.2013433,13.0198494
['3rd Street'],,road,['residential'],174.0,80.2125791,13.0004965
['3rd main road sivaram Street'],,road,['residential'],169.0,80.2116252,12.9662165
['3rd main road'],,road,['residential'],169.0,80.2086205,12.9657171
['3rd road'],,road,['residential'],169.0,80.1996009,12.9708006
['40th Lane'],,road,['residential'],177.0,80.2132606,12.9924966
['41st Street'],,road,['living_street'],182.0,80.2610158,12.9757245
['42nd Street'],,road,['living_street'],182.0,80.2610513,12.9759701
['43rd Street'],,road,['living_street'],182.0,80.2619446,12.9761656
['44th Street'],,road,['living_street'],182.0,80.2614399,12.9757074
['47th Street'],,road,['residential'],182.0,80.2603406,12.9769099
['48th Street'],,road,['residential'],182.0,80.2603562,12.9771622
['48th Street'],,road,['living_street'],177.0,80.2133824,12.991868
['49th Street'],,road,['residential'],182.0,80.2603288,12.9767153
['4th Avenue'],,road,['residential'],175.0,80.2557241,12.9931524
['4th Avenue'],,road,['residential'],,80.1988393,13.0144972
['4th Avenue'],,road,['residential'],170.0,80.1990434,13.0156401
['4th Cross Street' '2nd Main Road'],,road,['residential'],177.0,80.2091244,12.9871426
['4th Cross Street' '3rd Main Road'],,road,['residential'],182.0,80.2571406,12.9756733
['4th Cross Street' '5th Cross Street' '9th Cross Street'],,road,['residential'],176.0,80.2613188,13.0055744
['4th Cross Street'],,road,['residential'],175.0,80.2502472,13.0087548
['4th Cross Street'],,road,['residential'],173.0,80.2611924,13.0229173
['4th Cross Street'],,road,['residential'],176.0,80.2646347,12.9997897
['4th Cross Street'],,road,['residential'],177.0,80.2159843,12.9818408
['4th Cross Street'],,road,['residential'],174.0,80.2423543,12.9956567
['4th Cross Street'],,road,['residential'],,80.2556213,12.9741527
['4th Cross Street'],,road,['residential'],180.0,80.241048,12.979303
['4th Cross Street'],,road,['residential'],170.0,80.2033889,13.0240177
['4th Lane'],,road,['residential'],176.0,80.2588168,12.9998383
['4th Main Road Ext'],,road,['residential'],172.0,80.2459388,13.0200417
['4th Main Road' 'Venus Colony 1st street'],,road,['residential'],179.0,80.2275575,12.9727466
['4th Main Road'],,road,['residential'],175.0,80.2484385,13.0043858
['4th Main Road'],,road,['secondary'],182.0,80.2548769,12.9835678
['4th Main Road'],,road,['residential'],,80.2340891,13.0283179
['4th Main Road'],,road,['tertiary'],171.0,80.2346943,13.0287122
['4th Main Road'],,road,['residential'],177.0,80.2067214,12.9818777
['4th Main Road'],,road,['residential'],178.0,80.2191585,12.9744912
['4th Main Road'],,road,['residential'],179.0,80.2259094,12.9720509
['4th Seaward Road'],,road,['residential'],182.0,80.2616185,12.9799209
['4th Street venkateshwara nagar'],,road,['residential'],176.0,80.2621728,13.0036373
['4th Street' '5th Street' 'Astalakshmi Nagar 2nd Street'],,road,['residential'],177.0,80.2146041,12.9850883
['4th Street' 'Damodarapuram 3rd Street'],,road,['residential' 'living_street'],176.0,80.2626125,13.0024324
['4th Street'],,road,['residential'],171.0,80.2301814,13.0187375
['4th Street'],,road,['residential'],175.0,80.2519261,13.0026108
['4th Street'],,road,['living_street'],181.0,80.2623491,12.9920942
['4th Street'],,road,['residential'],176.0,80.2575758,13.0017231
['4th Street'],,road,['residential'],172.0,80.2445168,13.0174879
['4th Street'],,road,['residential'],182.0,80.2655356,12.9832895
['4th Street'],,road,['residential'],168.0,80.1909397,12.9778407
['4th cross road'],,road,['residential'],169.0,80.2116744,12.967805
['4th street' 'Annai Therasa Nagar 2nd Street'],,road,['residential'],169.0,80.2048404,12.9693019
['4th street'],,road,['residential'],169.0,80.2073358,12.9683075
['5 Cross Street'],,road,['residential'],177.0,80.2058157,12.984276
['50th Street'],,road,['residential'],182.0,80.2607002,12.9764779
['51st Street'],,road,['residential'],182.0,80.2603288,12.9767153
['52nd Street'],,road,['residential'],182.0,80.2594952,12.9769851
['53rd Street'],,road,['residential'],182.0,80.2595132,12.9772272
['54th Street'],,road,['residential'],182.0,80.2595132,12.9772272
['5th Avenue'],,road,['tertiary'],176.0,80.2688769,13.0035774
['5th Cross Street'],,road,['residential'],176.0,80.2577361,12.9980849
['5th Cross Street'],,road,['residential'],169.0,80.2071039,12.9652732
['5th Cross Street'],,road,['residential'],175.0,80.2527236,12.9959253
['5th Cross Street'],,road,['residential'],170.0,80.2046771,13.0240046
['5th East Street'],,road,['residential'],182.0,80.2572341,12.9874747
['5th Lane'],,road,['residential'],175.0,80.2528833,12.9979575
['5th Main Road'],,road,['residential'],175.0,80.2502105,13.0039566
['5th Main Road'],,road,['residential'],178.0,80.2190119,12.9738405
['5th Main Road'],,road,['residential'],177.0,80.2135758,12.9832734
['5th Main Road'],,road,['residential'],182.0,80.2638613,12.9764472
['5th Street'],,road,['residential'],171.0,80.2287455,13.0194147
['5th Street'],,road,['residential'],177.0,80.2133581,12.9928469
['5th Street'],,road,['residential'],175.0,80.2540626,13.0021651
['5th Street'],,road,['residential'],176.0,80.2628061,13.0030171
['5th Street'],,road,['residential'],182.0,80.2611437,12.9788504
['5th Street'],,road,['living_street'],181.0,80.261673,12.9926829
['5th main road'],,road,['residential'],175.0,80.2512915,13.0038007
['67th Lane'],,road,['residential'],177.0,80.2116119,12.9912334
['69th cross Street'],,road,['residential'],182.0,80.2664318,12.9816484
['6th Cross Street' '7th Cross Street' '8th cross street'],,road,['residential'],176.0,80.2613222,13.0043291
['6th Cross Street'],,road,['residential'],175.0,80.2510024,12.998556
['6th Cross Street'],,road,['residential'],176.0,80.2577327,12.9974962
['6th Lane'],,road,['residential'],175.0,80.2526928,12.9982502
['6th Lane'],,road,['residential'],176.0,80.2595306,12.9994102
['6th Main Road' '3rd Avenue'],,road,['residential'],182.0,80.2657995,12.9763312
['6th Main Road'],,road,['residential'],178.0,80.2171697,12.9741773
['6th Main Road'],,road,['residential'],175.0,80.2484974,13.0034608
['6th Main Road'],,road,['residential'],182.0,80.2638613,12.9764472
['6th Street' '1st Main Road'],,road,['residential'],182.0,80.2612225,12.9791683
['6th Street'],,road,['residential'],177.0,80.2132966,12.9915923
['6th Street'],,road,['residential'],169.0,80.2118118,12.968817
['6th Street'],,road,['residential'],182.0,80.2560713,12.9838628
['6th Street'],,road,['residential'],,80.2032199,12.9860147
['70 Feet Road' 'Reddy Kuppam Road' 'Aranganathan Subway'],,road,['secondary'],171.0,80.2243631,13.0284035
['70 Feet Road'],,road,['secondary'],171.0,80.2274644,13.0302666
['70th Lane'],,road,['living_street'],177.0,80.2118957,12.9911588
['7th C ross Street'],,road,['residential'],176.0,80.2655275,12.9981987
['7th Cross Street' '8th cross street' '6th Cross Street'],,road,['residential'],176.0,80.2613222,13.0043291
